metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1778568355.203,elite,5505.9923904767,1777484524.3772,AS209847 WorkTitans B.V.,THE,Austin,North America,,United States,US,,False,WorkTitans B.V.,38.7584,-85.808,False,WorkTitans B.V,True,Indiana,success,America/Indiana/Indianapolis,47102,1778089371,1778568388.9629,1082,socks4,86.104.72.219:1082,True,341.50862693787,24989,23515,51.519462312387,86.104.72.219
True,1778414532.0048,elite,532.54110012658,1777037883.4707,AS31898 Oracle Corporation,ORACLE-BMC-31898,Paris,Europe,EU,France,FR,,True,Oracle Corporation,48.8558,2.3494,False,Oracle Corporation,False,Île-de-France,success,Europe/Paris,75001,1778244155,1778568388.5936,1080,socks4,158.178.198.31:1080,True,54.041624069214,129854,2004,98.480183227411,158.178.198.31
True,1778567289.289,elite,3950.2096172231,1778038666.0572,AS47583 Hostinger International Limited,AS-HOSTINGER,Vilnius,Europe,EU,Lithuania,LT,,True,Hostinger International Limited,54.6876,25.2806,False,Hostinger International Limited,False,Vilnius,success,Europe/Vilnius,02021,1778037632,1778568388.4849,1080,socks4,194.31.52.201:1080,True,368.4229850769,27582,4163,86.886123799023,194.31.52.201
True,1778568332.8932,elite,3929.2015350386,1776088752.0146,AS18403 FPT Telecom Company,FPT-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,False,FPT Telecom Company,21.0278,105.834,False,Vietnam Internet Network Information Center,False,Hanoi,success,Asia/Bangkok,,1778504855,1778568388.3693,60606,socks4,118.70.211.121:60606,True,936.07783317566,35237,53442,39.735450332097,118.70.211.121
True,1778568387.9941,elite,1320.047267559,1776088340.3423,AS21183 Vodafone Albania Sh.A.,VODAFONE-FIX-AS,Tirana,Europe,EU,Albania,AL,,False,Vodafone Albania Sh.A.,41.3253,19.8184,False,Vodafone Albania Public,False,Tirana,success,Europe/Tirane,,1778504993,1778568387.9941,65530,socks4,80.78.73.120:65530,True,1229.4893264771,52001,45696,53.226813515256,80.78.73.120
True,1778568196.2536,elite,7630.7850529928,1778492981.3738,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Bengaluru,Asia,AS,India,IN,,True,"DigitalOcean, LLC",12.9753,77.591,False,"DigitalOcean, LLC",False,Karnataka,success,Asia/Kolkata,560100,1778489875,1778568387.7043,9050,socks4,139.59.44.192:9050,True,1320.9729194641,2831,1223,69.832264430192,139.59.44.192
True,1778564115.4187,elite,3979.8448321746,1776634787.6043,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Hangzhou,Asia,AS,China,CN,,False,Chinanet,30.2674,120.171,False,,False,Zhejiang,success,Asia/Shanghai,310000,1778447920,1778568387.1867,1080,socks4,122.224.198.218:1080,True,1270.3545093536,109863,11230,90.726136110262,122.224.198.218
True,1778567821.6379,elite,4367.2932662512,1766405584.9803,AS17858 LG POWERCOMM,POWERVIS-AS-KR,Songpa-gu,Asia,AS,South Korea,KR,,False,LG POWERCOMM,37.5108,127.1048,False,Xpeed,False,Seoul,success,Asia/Seoul,055,1778510016,1778568387.1677,3128,http,115.136.121.54:3128,False,1184.7009658813,2531,13051,16.243101013991,115.136.121.54
True,1778568341.25,elite,9967.6997031879,1776891606.335,AS24940 Hetzner Online GmbH,HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,50.4777,12.3649,False,Hetzner,False,Saxony,success,Europe/Berlin,08223,1778099011,1778568386.8439,9050,socks4,49.12.99.250:9050,True,1206.9272994995,47280,35565,57.070432735832,49.12.99.250
True,1778568386.7395,elite,969.5591177409,1697030621.6387,AS46562 Performive LLC,PERFORMIVE,Beverly Hills,North America,,United States,US,,True,Performive LLC,34.0624,-118.384,False,ZeroLag Communications,True,California,success,America/Los_Angeles,90211,1778504206,1778568386.7395,4145,socks4,142.54.226.214:4145,True,806.33616447449,228748,768754,22.932084346698,142.54.226.214
True,1778568316.2817,elite,4160.9933500418,1710575832.5007,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Chengdu,Asia,AS,China,CN,,False,Chinanet,30.6667,104.0667,False,Chinanet SC,False,Sichuan,success,Asia/Shanghai,,1777999848,1778568386.5413,5678,socks4,222.212.85.149:5678,True,1391.0419940948,68156,720501,8.6420332286406,222.212.85.149
True,1778483281.2885,elite,1334.1425596323,1776078247.4409,AS46562 Performive LLC,PERFORMIVE,Beverly Hills,North America,,United States,US,,True,Performive LLC,34.0624,-118.384,False,ZeroLag Communications,True,California,success,America/Los_Angeles,90211,1778497525,1778568386.443,4145,socks5,142.54.226.214:4145,True,991.25504493713,11833,3575,76.797767393562,142.54.226.214
True,1778568270.9885,elite,3672.8863751869,1776081050.4264,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Chula Vista,North America,,United States,US,,False,Cox Communications Inc.,32.6387,-117.0801,False,Cox Communications,True,California,success,America/Los_Angeles,91910,1778497426,1778568386.3936,4145,socks4,72.207.33.64:4145,True,878.24726104736,64651,51273,55.770159759843,72.207.33.64
True,1778420075.6422,elite,1295.3269378912,1750609509.8836,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,Zhengzhou,Asia,AS,China,CN,Jinshui Qu,False,CNC Group CHINA169 Henan Province Network,34.8283,113.677,False,,True,Henan,success,Asia/Shanghai,450000,1778181560,1778568386.3407,9002,http,61.158.175.38:9002,False,1060.7004165649,339165,7036,97.967654628381,61.158.175.38
True,1778567845.2918,elite,3215.1296390472,1778499026.8979,AS50867 HOSTKEY B.V.,ORG-LVA15-AS,Moscow,Europe,EU,Russia,RU,,False,HOSTKEY,55.7487,37.6187,False,,False,Moscow,success,Europe/Moscow,129272,1778497188,1778568386.2534,1080,socks4,141.105.64.168:1080,True,826.13682746887,1187,1121,51.429809358752,141.105.64.168
