alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1787085704.8288,elite,336.33243651056,1783180244.3948,"AS214707 RCell LLC",Rcell,Al-Hasakah,Asia,AS,Syria,SY,,false,"RCell LLC",36.5024,40.7477,false,"RCell LLC",false,"Al-Hasakah Governorate",success,Asia/Damascus,,1786807353,1787085704.8288,1080,socks4,205.209.66.105:1080,true,322.72624969482,36454,96501,27.418299424617,205.209.66.105
true,1787085643.1773,elite,1516.6258406304,1777407722.831,"AS47232 ISP Alliance a.s.",ISPAlliance,Kryry,Europe,EU,Czechia,CZ,,false,"ISP Alliance a.s.",50.1769,13.4222,false,"GRAPE SC",true,"Ústí nad Labem Region",success,Europe/Prague,"439 81",1787082414,1787085704.8147,4145,socks4,78.111.112.118:4145,true,67.790031433105,142091,234031,37.777901850995,78.111.112.118
true,1787085453.9326,elite,601.21505102618,1786252124.6469,"AS210644 AEZA GROUP LLC",AEZA-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Aeza International LTD",50.1169,8.6837,false,"Aeza International LTD",false,Hesse,success,Europe/Berlin,60313,1786853578,1787085704.4354,1080,socks5,45.144.54.40:1080,true,17.495155334473,37123,2841,92.891101991793,45.144.54.40
true,1787085704.2395,elite,2740.0367371996,1784094192.0413,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7501,-84.3885,false,"Global Connectivity Solutions LLP",true,Georgia,success,America/New_York,30302,1786511409,1787085704.2395,1082,socks5,147.45.60.110:1082,true,613.71731758118,36566,30727,54.338489887507,147.45.60.110
true,1787085704.1843,elite,1279.3360288726,1776078017.9193,"AS46562 Performive LLC",PERFORMIVE,"Beverly Hills","North America",NA,"United States",US,,false,"Performive LLC",34.0624,-118.384,false,"ZeroLag Communications",true,California,success,America/Los_Angeles,90211,1786966209,1787085704.1843,4145,socks5,72.37.216.68:4145,true,972.31674194336,64680,55987,53.602061872757,72.37.216.68
true,1787085704.0961,elite,2529.6337893573,1776077962.4145,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,"El Cajon","North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8123,-116.9172,false,"Cox Communications",true,California,success,America/Los_Angeles,92021,1786965518,1787085704.0961,4145,socks5,24.249.199.4:4145,true,960.96539497375,97735,48336,66.909242765504,24.249.199.4
true,1787067296.1904,elite,276.13761437071,1785113462.8085,"AS57043 HOSTKEY B.V.",HOSTKEY-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hostkey B.V.",60.1719,24.9347,false,"Hostkey B.V",true,Uusimaa,success,Europe/Helsinki,00221,1786926909,1787085703.9905,8080,http,195.26.230.202:8080,false,187.73555755615,33236,116,99.652194770928,195.26.230.202
true,1787085669.7765,elite,914.98079562791,1697031230.0651,"AS46562 Performive LLC",PERFORMIVE,"Los Angeles","North America",NA,"United States",US,,true,"Performive LLC",34.0549,-118.243,false,"Performive LLC",true,California,success,America/Los_Angeles,90009,1786926272,1787085703.9722,4145,socks4,142.54.231.38:4145,true,810.36138534546,403539,868796,31.716411165298,142.54.231.38
true,1787085638.1635,elite,2560.7762552214,1697035420.0374,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1787034935,1787085703.9599,4145,socks4,184.181.217.220:4145,true,773.16117286682,732517,775120,48.587093577565,184.181.217.220
true,1787085064.253,elite,518.27325704063,1782725900.1328,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1787050043,1787085703.9337,1088,socks5,144.91.111.48:1088,true,406.74161911011,131766,2421,98.195801381654,144.91.111.48
