dest_nt_domain,metadata_reference,metadata_list_last_updated
00000000000000000000000000000000000000000.xyz,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000000000000000000000000000000000000dfjjjhv.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000000000000000000000.findyourjacket.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000000000000000000000056000005-102299.weeblysite.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000000000000000gg.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000000000000000update.emy.ba,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000000000000ooooo.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000-00-000-000000.pages.dev,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000000000f0i0c0o0h0s0a.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000000c0.x9xcax2a.workers.dev,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000000a0uutlook.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000000883838383992929292222.ratingandreviews.in,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000000920.us-south.cf.appdomain.cloud,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000095.godaddysites.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000002.c1.biz,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000666666.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000o.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000000wer.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000541840000.co.vu,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000006738.vercel.app,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000788-66666666.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000078uu7u8790090900.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000000login.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000001010010104106.cloud,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000002456171.ml,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000002456180.ml,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000003.000000000013.repl.co,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000091193.xyz,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000--bancogeneral3.repl.co,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000f.nuevaconfirma.repl.co,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000microsof.tonohost.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00000wefv.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00001062.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000012151000.co.vu,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000012223.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00001-888887766.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000-1t8.pages.dev,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000025123.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00003.godaddysites.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000666688887777.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000066.godaddysites.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000083.godaddysites.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00008.godaddysites.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000bbffxzzzz900.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000.com.my,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0.0.0.0forum.cryptonight.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000guatec.davieelchirinos.repl.co,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000h00003.byethost7.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000.hopto.org,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0.0.0.0mailgate.cryptonight.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000mscautorizationclientid.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0.0.0.0ns10.cryptonight.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000qwew341432edxzt.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0.0.0.0ssl.cryptonight.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0000wa0outlook.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00010xsea34dsd.co.vu,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000111.pages.net.br,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
00012sbcglobal.weebly.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000133210.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0001.353527440.workers.dev,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000193.azurewebsites.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0001home.webflow.io,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0001qwis.webflow.io,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
0001siteenconstruction2.fr,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000220.000webhostapp.com,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
000247aa8f117a13af2094b691ab1b3e.serveo.net,https://phish.co.za/latest/phishing-domains-ACTIVE.txt,2026/04/05
