dest_nt_domain,dest_port,dest_ip
tr-ist.prod.surfshark.com,1194,87.249.139.185
my-kul.prod.surfshark.com,1443,152.233.3.59
fi-hel.prod.surfshark.com,1443,193.56.113.13
me-tgd.prod.surfshark.com,1194,62.197.159.20
us-oma.prod.surfshark.com,1443,145.223.7.11
us-bna.prod.surfshark.com,1194,82.26.162.43
at-vie.prod.surfshark.com,1194,89.187.168.51
us-phx.prod.surfshark.com,1194,172.216.11.17
bn-bwn.prod.surfshark.com,1443,62.197.158.46
tw-tai.prod.surfshark.com,1443,45.144.227.78
fr-bod.prod.surfshark.com,1194,195.86.24.113
nl-ams.prod.surfshark.com,1443,185.212.171.181
uk-edi.prod.surfshark.com,1443,194.88.103.119
li-qvu.prod.surfshark.com,1194,62.197.150.69
ro-buc.prod.surfshark.com,1443,185.102.217.161
mk-skp.prod.surfshark.com,1194,217.9.244.99
br-sao.prod.surfshark.com,1194,149.102.251.161
lt-vno.prod.surfshark.com,1443,62.197.149.105
no-osl.prod.surfshark.com,1194,79.127.150.140
lu-ste.prod.surfshark.com,1194,145.223.8.17
ba-sjj.prod.surfshark.com,1194,89.117.46.53
us-sfo.prod.surfshark.com,1443,172.216.250.47
uk-edi.prod.surfshark.com,1194,188.240.57.117
sk-bts.prod.surfshark.com,1194,185.76.8.212
ca-van.prod.surfshark.com,1443,149.22.81.103
us-kan.prod.surfshark.com,1194,74.80.182.69
dk-cph.prod.surfshark.com,1194,89.45.7.27
us-mia.prod.surfshark.com,1443,146.70.45.195
uy-mvd.prod.surfshark.com,1194,212.119.32.34
hk-hkg.prod.surfshark.com,1194,172.216.245.36
cl-san.prod.surfshark.com,1443,149.88.104.136
al-tia.prod.surfshark.com,1443,172.216.15.228
mk-skp.prod.surfshark.com,1443,217.9.244.99
in-mum.prod.surfshark.com,1194,176.227.240.54
us-bos.prod.surfshark.com,1443,43.225.189.114
dz-alg.prod.surfshark.com,1194,62.197.144.133
hk-hkg.prod.surfshark.com,1443,172.216.245.36
ph-mnl.prod.surfshark.com,1194,172.216.248.27
us-den.prod.surfshark.com,1194,212.102.44.111
cr-sjn.prod.surfshark.com,1194,176.227.241.68
ad-leu.prod.surfshark.com,1443,62.197.152.197
pa-pac.prod.surfshark.com,1194,185.244.139.85
es-vlc.prod.surfshark.com,1443,193.19.207.94
ch-zur.prod.surfshark.com,1443,169.150.197.56
sa-ruh.prod.surfshark.com,1194,45.150.5.4
ca-van.prod.surfshark.com,1194,216.246.31.32
mt-mla.prod.surfshark.com,1443,193.228.56.134
am-evn.prod.surfshark.com,1194,92.62.120.115
it-rom.prod.surfshark.com,1194,185.217.71.237
mm-nyt.prod.surfshark.com,1194,45.95.242.46
es-bcn.prod.surfshark.com,1443,185.188.61.40
mn-uln.prod.surfshark.com,1443,62.197.155.53
de-ber.prod.surfshark.com,1443,86.38.98.58
lk-cmb.prod.surfshark.com,1194,62.197.156.18
pt-lis.prod.surfshark.com,1194,185.92.210.70
ad-leu.prod.surfshark.com,1194,62.197.152.197
us-dal.prod.surfshark.com,1443,2.56.189.74
uk-gla.prod.surfshark.com,1194,188.240.58.73
mo-mfm.prod.surfshark.com,1443,62.197.154.32
us-lax.prod.surfshark.com,1194,185.193.157.162
us-sea.prod.surfshark.com,1443,138.199.12.50
ve-car.prod.surfshark.com,1443,45.149.3.36
kz-ura.prod.surfshark.com,1194,217.9.250.85
ee-tll.prod.surfshark.com,1443,185.174.159.113
pk-khi.prod.surfshark.com,1443,151.244.60.32
dk-cph.prod.surfshark.com,1443,89.45.7.27
nz-akl.prod.surfshark.com,1443,62.93.164.226
ua-iev.prod.surfshark.com,1194,143.244.46.100
us-lax.prod.surfshark.com,1443,185.193.157.162
ng-lag.prod.surfshark.com,1443,79.127.149.49
us-bdn.prod.surfshark.com,1194,104.255.173.143
tr-ist.prod.surfshark.com,1443,87.249.139.185
pe-lim.prod.surfshark.com,1194,95.173.223.108
ec-uio.prod.surfshark.com,1443,92.62.122.18
jp-tok.prod.surfshark.com,1443,93.118.41.110
us-phx.prod.surfshark.com,1443,45.86.211.66
bg-sof.prod.surfshark.com,1194,185.9.16.107
bo-sre.prod.surfshark.com,1443,194.169.171.34
ar-bua.prod.surfshark.com,1194,89.117.41.101
ee-tll.prod.surfshark.com,1194,185.174.159.115
ae-dub.prod.surfshark.com,1443,217.138.193.253
nz-akl.prod.surfshark.com,1194,180.149.231.5
us-slc.prod.surfshark.com,1194,172.216.252.5
ba-sjj.prod.surfshark.com,1443,89.117.46.51
si-lju.prod.surfshark.com,1194,195.158.249.23
pr-sju.prod.surfshark.com,1443,45.139.253.20
cz-prg.prod.surfshark.com,1443,185.242.6.91
us-den.prod.surfshark.com,1443,212.102.44.115
ph-mnl.prod.surfshark.com,1443,151.240.11.7
me-tgd.prod.surfshark.com,1443,62.197.159.36
it-rom.prod.surfshark.com,1443,185.217.71.237
hu-bud.prod.surfshark.com,1194,146.70.120.35
uk-lon.prod.surfshark.com,1194,103.138.124.25
us-ash.prod.surfshark.com,1194,149.102.227.108
pl-gdn.prod.surfshark.com,1194,37.28.156.11
br-sao.prod.surfshark.com,1443,149.102.251.166
au-syd.prod.surfshark.com,1194,45.248.76.221
it-mil.prod.surfshark.com,1443,95.174.64.251
us-kan.prod.surfshark.com,1443,74.80.182.84
ae-dub.prod.surfshark.com,1194,217.138.193.253
sk-bts.prod.surfshark.com,1443,146.70.114.181
az-bak.prod.surfshark.com,1194,89.117.47.69
us-mia.prod.surfshark.com,1194,146.70.45.195
uk-man.prod.surfshark.com,1194,103.219.21.42
us-buf.prod.surfshark.com,1443,172.216.8.10
us-clt.prod.surfshark.com,1443,191.96.101.173
lv-rig.prod.surfshark.com,1443,80.246.31.82
cr-sjn.prod.surfshark.com,1443,176.227.241.68
au-per.prod.surfshark.com,1194,124.150.139.35
is-rkv.prod.surfshark.com,1443,45.139.252.20
se-sto.prod.surfshark.com,1443,185.76.9.51
cy-nic.prod.surfshark.com,1194,193.19.204.70
es-bcn.prod.surfshark.com,1194,185.188.61.40
rs-beg.prod.surfshark.com,1194,130.195.209.197
es-mad.prod.surfshark.com,1443,89.37.95.204
ca-mon.prod.surfshark.com,1194,195.86.1.56
md-chi.prod.surfshark.com,1194,217.9.245.101
us-dtw.prod.surfshark.com,1443,185.141.119.84
th-bkk.prod.surfshark.com,1443,151.240.88.179
us-dtw.prod.surfshark.com,1194,185.141.119.84
co-bog.prod.surfshark.com,1194,149.88.111.68
hr-zag.prod.surfshark.com,1194,149.102.247.133
at-vie.prod.surfshark.com,1443,87.249.133.71
pt-opo.prod.surfshark.com,1194,103.192.205.7
au-mel.prod.surfshark.com,1194,103.192.80.141
au-bne.prod.surfshark.com,1194,86.38.102.8
hr-zag.prod.surfshark.com,1443,149.102.247.133
bg-sof.prod.surfshark.com,1443,185.9.16.211
us-hou.prod.surfshark.com,1443,149.40.58.22
pt-lis.prod.surfshark.com,1443,149.88.20.91
kh-pnh.prod.surfshark.com,1443,62.197.146.19
bz-blp.prod.surfshark.com,1194,212.119.33.18
lv-rig.prod.surfshark.com,1194,80.246.31.76
kz-ura.prod.surfshark.com,1443,217.9.250.85
cy-nic.prod.surfshark.com,1443,193.19.204.70
vn-hcm.prod.surfshark.com,1194,83.97.112.19
us-bdn.prod.surfshark.com,1443,104.255.173.143
be-bru.prod.surfshark.com,1194,146.70.55.251
mm-nyt.prod.surfshark.com,1443,45.95.242.39
rs-beg.prod.surfshark.com,1443,130.195.209.197
th-bkk.prod.surfshark.com,1194,151.240.88.179
py-asu.prod.surfshark.com,1194,194.26.131.36
hu-bud.prod.surfshark.com,1443,146.70.120.35
us-chi.prod.surfshark.com,1194,103.103.98.69
us-hou.prod.surfshark.com,1194,149.40.58.22
gl-goh.prod.surfshark.com,1443,92.62.123.101
pe-lim.prod.surfshark.com,1443,95.173.223.108
se-sto.prod.surfshark.com,1194,185.76.9.51
ua-iev.prod.surfshark.com,1443,143.244.46.108
lt-vno.prod.surfshark.com,1194,62.197.149.103
fr-par.prod.surfshark.com,1443,143.244.57.85
au-bne.prod.surfshark.com,1443,144.48.39.123
pl-waw.prod.surfshark.com,1194,45.134.212.33
uz-tas.prod.surfshark.com,1194,94.154.124.99
la-vte.prod.surfshark.com,1443,194.169.168.24
us-ltm.prod.surfshark.com,1194,45.43.19.30
bn-bwn.prod.surfshark.com,1194,62.197.158.46
ge-tbs.prod.surfshark.com,1194,83.97.115.18
us-dal.prod.surfshark.com,1194,2.56.189.74
